employee_key,employee_name,gender,hire_date
584,Univ.Prof. Ehrentraud Hänel,F,2025-12-05
585,Notburga Wagner,F,2024-06-11
586,Prof. Heinz-Walter Klingelhöfer B.Sc.,M,2018-12-07
587,Mohammed Gute,M,2021-08-27
588,Hatice Thies,F,2025-09-16
589,Wojciech Etzler,F,2024-09-25
590,Adelgunde Fliegner,M,2021-09-26
591,Hassan Süßebier B.A.,M,2020-09-03
592,Lucie Hübel,M,2022-10-03
593,Rosalie Mielcarek,M,2017-04-03
594,Eva-Maria Meyer,M,2022-02-28
595,Edeltraud Noack,F,2019-06-06
596,Dipl.-Ing. Timm Schweitzer,M,2022-06-30
597,Frau Tabea Reuter,F,2016-05-06
598,Faruk Stoll-Plath,M,2023-11-14
599,Ahmed Stoll,M,2017-08-19
600,Prof. Adriane Linke MBA.,M,2022-07-13
601,Luigi Heuser-Löchel,F,2023-06-22
602,Dana Adolph,F,2019-04-22
603,Dimitrios Geißler-Dussen van,F,2022-04-06
604,Hans-Walter Scholz,M,2017-06-11
605,Roswita Reising,M,2016-05-17
606,Univ.Prof. Tino Fischer,F,2024-05-11
607,Dr. Dorota Jäkel B.Eng.,F,2018-06-11
608,Tomas Wilmsen,F,2017-07-19
609,Jobst Hamann,M,2024-12-22
610,Ferdinand Wernecke,F,2021-09-23
611,Katy Staude,F,2021-08-07
612,Dr. Mohamed Gröttner,F,2017-10-31
613,Hildegunde Wende,F,2017-06-08
614,Berta Schleich-Säuberlich,M,2024-09-28
615,Anatoli Pechel,M,2021-11-01
616,Cynthia Finke-Dörschner,F,2023-03-28
617,Dipl.-Ing. Waldemar Weller B.Eng.,F,2018-07-26
618,Herr Reinhard Heß,F,2023-04-28
619,Sabina Jacobi Jäckel,F,2019-08-12
620,Curt Müller-Baum,M,2018-09-27
621,Justina Schmidt,M,2023-04-24
622,Ing. Patrizia Hermighausen B.A.,F,2025-05-07
623,Lotte Stoll,M,2025-04-02
624,Alexei Harloff MBA.,F,2024-10-07
625,Marga Birnbaum,F,2018-09-12
626,Sevim Heuser B.A.,F,2021-05-31
627,Philippe Birnbaum,M,2017-08-13
628,Selim Seifert,F,2020-03-02
629,Herr Marcus Metz MBA.,M,2023-12-26
630,Univ.Prof. Marianna Kranz,M,2018-08-07
631,Wally Patberg,M,2020-12-29
632,Theda Neuschäfer B.Sc.,M,2019-09-22
633,Irmtrud Heintze,F,2023-06-09
634,Doris Otto,M,2018-06-06
635,Ditmar Hentschel,F,2018-04-14
636,Rabea Steuer,M,2021-07-04
637,Prof. Monja Hoffmann,M,2016-09-22
638,Halina Wiek B.Sc.,M,2022-12-15
639,Dipl.-Ing. Walter Warmer,M,2025-09-07
640,Cosimo Weimer,M,2025-01-10
641,Herrmann auch Schlauchin,F,2022-12-06
642,Fredy Reuter-Beier,F,2022-06-27
643,Caterina Freudenberger,M,2024-12-16
644,Pietro Metz-Junken,F,2018-10-15
645,Milica Henschel MBA.,F,2020-06-07
646,Ibrahim Vogt,F,2017-09-05
647,Anton Dowerg,M,2023-02-05
648,Geraldine Täsche,F,2020-08-17
649,Steffi Hornig MBA.,F,2020-01-30
650,Anastasios Lindner,M,2018-08-23
651,Sonja Huhn,M,2020-09-12
652,René Tröst,F,2018-10-09
653,Niklas Kuhl,F,2021-01-27
654,Prof. Tabea Warmer B.Sc.,F,2021-01-17
655,Ing. Philippe Ruppert,F,2018-07-08
656,Univ.Prof. Mijo Vollbrecht B.Sc.,M,2024-08-26
657,Karl-Josef Hamann,F,2025-12-12
658,Tom Reinhardt,M,2018-05-30
659,Reinhardt Juncken,M,2020-12-18
660,Rouven Gunpf,M,2023-03-27
661,Andrzej Wulf B.A.,M,2022-05-03
662,Donald Weitzel,F,2021-04-05
663,Bernfried Hering MBA.,F,2019-11-10
664,Constantin Trub,M,2023-07-10
665,Roberto Wohlgemut,M,2021-11-17
666,Raymund Schmiedt,F,2018-11-15
667,Käte Rosemann,M,2021-07-30
668,Necati Gierschner-Segebahn,M,2020-10-15
669,Prof. Ana Scholtz B.A.,M,2021-12-31
670,Univ.Prof. Maximilian Ruppert MBA.,M,2025-03-28
671,Magnus Bender,F,2018-04-10
672,Frederik Lorch,M,2020-05-12
673,Dr. Theres Benthin,F,2024-06-20
674,Slavko Kraushaar,M,2023-11-07
675,Kirstin Kreusel,F,2021-12-14
676,Margaret Kramer MBA.,M,2020-12-17
677,Emma Höfig,F,2024-08-19
678,Jörn Killer,M,2022-01-12
679,Günther Hesse,F,2016-12-25
680,Philomena Gertz B.Eng.,M,2022-11-08
681,Dragica Austermühle B.Sc.,F,2019-07-05
682,Jonathan Oderwald,M,2026-01-31
683,Christine Hauffer,F,2017-07-10
684,Univ.Prof. Pascal Mülichen,M,2016-05-01
685,Dipl.-Ing. Murat Köhler,F,2025-06-10
686,Sibille Geisler,F,2017-09-30
687,Erol Bohnbach-Dussen van,M,2021-01-14
688,Ing. Antonius Vogt MBA.,F,2023-03-06
689,Prof. Dan Lindau MBA.,M,2020-01-02
690,Reinhilde Säuberlich,F,2020-07-22
691,Ines Mohaupt B.Sc.,M,2020-07-22
692,Helma Bauer,F,2022-09-13
693,Walentina Kreusel,F,2019-09-10
694,Malgorzata Mans,M,2025-05-08
695,Leonhard Kranz,F,2019-01-12
696,Ing. Murat Seifert MBA.,F,2024-02-02
697,Frau Hiltraud Täsche B.Eng.,M,2023-12-24
698,Rebecca Freudenberger-Schmiedecke,M,2023-09-25
699,Ralf-Dieter Oestrovsky,F,2017-06-04
700,Hans-Ludwig Wilmsen B.Sc.,M,2020-12-20
701,Utz Ring,M,2019-06-04
702,Reinhold Aumann,F,2025-04-07
703,Univ.Prof. Isabell Reuter B.A.,M,2016-05-26
704,Sergio Pohl,F,2025-11-22
705,Univ.Prof. Harald Haase,F,2024-06-25
706,Annegrete Schaaf,M,2020-12-06
707,Edwin Gnatz,F,2021-07-26
708,Pasquale Pieper,M,2018-01-10
709,Erhard Scholz B.A.,M,2017-01-19
710,Margaret Hornich,F,2017-10-10
711,Margrit Täsche,F,2024-11-25
712,Paola Holzapfel,F,2019-09-01
713,Dipl.-Ing. Joerg Oderwald,F,2025-04-15
714,Ing. Friedemann Mangold,M,2023-04-04
715,Ulla Bruder MBA.,F,2024-04-30
716,Dipl.-Ing. Kristiane Kraushaar,M,2019-04-14
717,Bianca Adolph,F,2020-08-29
718,Bertha Harloff-Mude,M,2022-12-23
719,Dr. Henning Kohl,M,2020-06-15
720,Giorgio Tschentscher-Schleich,F,2017-01-07
721,Ulrich Becker MBA.,F,2024-09-24
722,Prof. Alma Schinke B.Sc.,M,2021-05-05
723,Diethelm Carsten,M,2017-12-07
724,Dolores Jopich-Trüb,F,2025-08-04
725,Hans-Dieter Lübs,M,2024-01-17
726,Dierk Krebs,M,2020-12-12
727,Nuran Wähner,F,2017-11-17
728,Drago Junck MBA.,F,2017-03-10
729,Evelin Hein,F,2017-06-21
730,Prof. Ditmar Otto,F,2021-01-14
731,Sven Geisel,F,2018-09-16
732,Angelo Beyer-Hettner,F,2019-09-18
733,Karl-Otto Bohnbach,F,2018-08-15
734,Cosimo Hornich,F,2021-07-29
735,Margret Lindner-Losekann,F,2020-12-24
736,Juliana Haering B.Sc.,M,2025-04-13
737,Ioannis Geisler,F,2018-02-03
738,Anika Schmiedecke,F,2022-02-18
739,Ing. Annemarie Hamann MBA.,M,2022-04-05
740,Katerina Dowerg,F,2020-04-28
741,Olaf Scheibe,M,2019-03-13
742,Prof. Lotti Ditschlerin B.Eng.,F,2023-07-12
743,Ludger Fliegner,M,2024-04-18
744,Luisa Weiß,F,2016-03-12
745,Prof. Gunnar Conradi B.Eng.,M,2020-06-06
746,Katja Hoffmann-Weller,M,2016-07-23
747,Necati Herrmann B.Sc.,F,2022-12-31
748,Andre Misicher,F,2025-07-10
749,Prof. Henning Trommler,M,2019-10-20
750,Dr. Brita Kambs MBA.,F,2024-04-21
751,Angelina Eckbauer,F,2024-01-08
752,Lucia Hering,M,2025-04-04
753,Maxim Franke,M,2025-02-09
754,Dipl.-Ing. Dennis Köhler,M,2025-01-10
755,Marika Wulff,M,2018-11-09
756,Uschi Jopich,F,2021-11-13
757,Univ.Prof. Ahmad Mentzel B.Eng.,M,2022-06-02
758,Elif Zänker,M,2021-08-16
759,Carin Hellwig MBA.,F,2020-06-11
760,Prof. Corina Rose B.Sc.,F,2020-08-01
761,Sylvie Butte,F,2025-10-06
762,Hans-Wilhelm Loos,F,2020-03-27
763,Prof. Ulla Jacob B.Sc.,F,2017-12-23
764,Hermann Josef Hänel,M,2022-04-03
765,Denny Schönland-Ullrich,F,2020-10-31
766,Emmi Reichmann-Austermühle,M,2017-04-12
767,Friedhold Schulz,F,2018-05-05
768,Felizitas Hermann,M,2022-11-04
769,Prof. Arnulf Schmidtke,F,2016-06-02
770,Alena Stadelmann,M,2019-10-15
771,Kristina Jacob,M,2024-06-14
772,Laura Gieß,M,2016-11-16
773,Ing. Olaf Kühnert B.Sc.,F,2024-03-30
774,Severin Scheel-Heintze,F,2023-04-04
775,Artur Spieß,M,2025-12-02
776,Susann Pergande,M,2021-01-15
777,Hartmut Scholtz B.A.,M,2022-07-07
778,Hanni Renner,F,2025-06-03
779,Hüseyin Albers,M,2018-09-12
780,Dragica Kallert,M,2022-10-11
781,Ingmar Köster,F,2022-11-14
782,Heinz-Otto Fritsch,M,2022-03-24
783,Theodoros Beer,F,2020-05-21
784,Gabriella Kruschwitz,M,2021-07-30
785,Piotr Hermann,F,2018-03-05
786,Aynur Wilms-Gieß,M,2020-08-19
787,Jose Reising,M,2020-05-20
788,Ing. Gerhild Pärtzelt B.Eng.,M,2023-04-13
789,Prof. Lioba Stahr MBA.,F,2018-02-10
790,Heino Trub,F,2026-02-09
791,Ludger Lachmann,M,2020-05-11
792,Kenan Rogner,M,2019-06-20
793,Eva Seifert B.Eng.,M,2025-09-28
794,Riza Girschner B.Sc.,M,2023-03-21
795,Josefine Wieloch B.Eng.,F,2020-11-29
796,Eva Müller MBA.,F,2019-02-06
797,Johann Winkler,M,2016-05-26
798,Nadine Kambs,F,2022-07-17
799,Gerolf Reuter B.Eng.,M,2021-09-08
800,Nina Tschentscher,F,2024-10-13
801,Dipl.-Ing. Nikolaos Knappe,M,2018-06-25
802,Ottfried Jungfer,M,2019-04-01
803,Hugo Metz-Birnbaum,M,2020-06-03
804,Rosita Kraus,M,2025-04-20
805,Swetlana Wernecke-Scholz,M,2017-10-14
806,Juri Bohlander,F,2021-10-23
807,Hendrik Schaaf-Fischer,F,2024-05-21
808,Elisabeth Kruschwitz,M,2016-06-06
809,Heimo Tschentscher,F,2018-07-19
810,Valentina Trüb,M,2023-10-13
811,Hans-Werner Striebitz,M,2025-06-05
812,Kunigunde Wulff,M,2020-03-08
813,Dr. Imre Käster,F,2018-03-05
814,Joachim Pölitz B.A.,F,2019-06-16
815,Dr. Mato Cichorius B.Eng.,M,2023-06-04
816,Hans Jörg Hörle-Pergande,F,2021-12-24
817,Prof. Rolf Schuchhardt,M,2019-05-31
818,Wenzel Kreusel,F,2017-11-26
819,Daria Heser,M,2020-06-18
820,Traute Thanel B.Sc.,M,2021-03-01
821,Albrecht Flantz,F,2016-07-07
822,Abbas Benthin,F,2024-08-10
823,Univ.Prof. Hasan Kuhl,F,2016-05-12
824,Holm Rörricht,F,2020-04-04
825,Renata Hertrampf-Jäntsch,F,2016-04-18
826,Hans-Michael Fechner,F,2023-02-08
827,Dipl.-Ing. Gesa Adler B.A.,M,2025-09-12
828,Valeri Wieloch,F,2024-10-19
829,Rafael Caspar,F,2017-10-13
830,Hans-Albert Gutknecht,M,2017-09-15
831,Gaby Sauer B.A.,F,2019-11-07
832,Wolf Scheel,M,2025-12-05
833,Natascha Kreusel-Drub,M,2020-10-21
834,Brigitta auch Schlauchin,M,2019-12-05
835,Ehrhard Radisch B.Sc.,M,2023-09-09
836,Ralf-Peter Weitzel,M,2017-04-05
837,Bogdan Mangold,M,2020-11-28
838,Franca Kroker,M,2020-10-10
839,Ing. Karl-Hermann Kohl B.Eng.,M,2016-05-13
840,Univ.Prof. Gabi Anders MBA.,F,2021-11-29
841,Bela Eigenwillig B.A.,M,2021-08-22
842,Silva Stoll,M,2018-05-24
843,Dipl.-Ing. Christin Dobes MBA.,M,2018-06-06
844,Siegfried Weller,M,2019-01-13
845,Dipl.-Ing. Halil Döhn B.Eng.,F,2025-10-31
846,Kristine Wagner,F,2017-03-25
847,Katalin Stolze-Rust,M,2023-07-14
848,Leo Trupp MBA.,M,2021-10-06
849,Winfried Seifert B.A.,F,2022-11-27
850,Aloisia Freudenberger-Putz,F,2020-08-14
851,Dr. Swantje Klingelhöfer,F,2019-01-24
852,Margita Stahr,M,2019-10-30
853,Christopher Bolzmann,M,2025-12-31
854,Francis Stey,M,2022-09-28
855,Birgitt Jungfer,F,2022-02-01
856,Leokadia Kobelt,M,2018-01-29
857,Attila Wohlgemut,M,2018-07-14
858,Emine Roskoth,F,2021-11-21
859,Gunnar Zorbach,F,2023-06-21
860,Yasemin Hertrampf,F,2025-10-18
861,Folkert Johann,M,2019-10-10
862,Abram Etzler,M,2017-08-23
863,Jann Ritter MBA.,F,2016-07-17
864,Anneke Hentschel MBA.,F,2016-03-08
865,Veronique Eigenwillig,M,2016-05-21
866,Roman Albers,M,2016-10-31
867,Prof. Janette Schlosser,F,2016-07-03
868,Arthur Benthin-Bonbach,M,2020-11-18
869,Ing. Fatima Gertz,F,2021-06-05
870,Meral Löwer,F,2019-08-21
871,Roselinde Faust-Gnatz,F,2025-07-29
872,Willy Weinhold,F,2017-10-27
873,Eugenia Dehmel,M,2022-08-07
874,Hakan Kranz,F,2020-10-06
875,Lorenzo Hande-Thanel,M,2021-02-22
876,Prof. Selma Beckmann,F,2024-11-03
877,Serge Kramer,F,2020-10-27
878,Dr. Milena Hendriks B.Eng.,F,2018-09-05
879,Wilhelm Rörricht B.Eng.,M,2023-10-02
880,Magrit Etzold,F,2016-12-28
881,Janet Barkholz B.Sc.,M,2016-09-16
882,Nicolas Albers MBA.,F,2019-03-25
883,Stilla Hering B.A.,F,2020-01-27
884,Jürgen Franke MBA.,M,2019-10-14
885,Dina Roht,M,2024-08-04
886,Olga Fritsch-Eckbauer,M,2018-07-05
887,Dr. Filiz Radisch,M,2019-07-16
888,Univ.Prof. Milos Warmer B.A.,F,2018-04-11
889,Herr Armin Heß MBA.,M,2025-02-12
890,Ing. Urszula Wulff B.Sc.,F,2018-09-25
891,Roberto Schleich,M,2018-08-28
892,Tanja Caspar,F,2025-12-11
893,Herr Ehrhard Sauer,F,2021-07-31
894,Rudolph Dussen van,F,2021-02-11
895,Frederic Wende,F,2023-02-01
896,Alfonso Knappe B.Sc.,F,2018-11-14
897,Saban Salz,F,2022-01-02
898,Ing. Alwin Spieß MBA.,M,2022-01-15
899,Ottokar Rädel,F,2023-02-18
900,Johanna Hornich-Stahr,M,2025-05-25
901,Gaby Pölitz,F,2021-06-07
902,Danny Killer-Gorlitz,M,2022-11-15
903,Hedda Preiß B.Eng.,M,2024-08-29
904,Martha Lübs,M,2020-11-03
905,Franziska Faust,F,2024-07-31
906,Dipl.-Ing. Gertraude Barkholz B.Sc.,F,2021-12-23
907,Roman Klingelhöfer-Ehlert,F,2022-03-13
908,Franziska Schmidt B.Eng.,M,2023-03-31
909,Dr. Baptist Löffler,M,2017-07-17
910,Christina Grein Groth,M,2020-01-08
911,Zoltan Höfig,F,2021-04-04
912,Annelie Stroh B.Eng.,F,2022-04-04
913,Paolo Thies,F,2017-12-25
914,Irene Ortmann,M,2018-05-23
915,Herr Diether Herrmann B.Sc.,M,2020-08-29
916,Prof. Hans-Joachim Trub B.A.,M,2019-01-24
917,Herr Vassilios Noack B.Eng.,M,2019-12-01
918,Elmar Wagenknecht MBA.,M,2022-07-23
919,Tina Nette,F,2018-03-02
920,Dr. Annaliese Wohlgemut,F,2025-12-29
921,Ing. Zenta Reising,F,2023-05-03
922,Henrik Losekann-Klemm,M,2019-09-23
923,Silvia Scholtz-Schaaf,F,2019-03-02
924,Marija Schweitzer,F,2026-01-15
925,Dr. Magrit Baum B.A.,M,2024-12-20
926,Katalin Dobes,F,2023-04-16
927,Maja Eberth,F,2025-05-12
928,Harald Reichmann MBA.,F,2025-08-11
929,Hermann-Josef Johann,M,2020-04-06
930,Annelise Dippel-Trubin,F,2016-05-27
931,Grete Dietz,M,2019-08-21
932,Rosa-Maria Scheibe,M,2016-08-07
933,Karl-Ludwig Pölitz,F,2022-06-03
934,Svenja Döhn-Christoph,M,2020-03-06
935,Anton Neuschäfer,F,2019-11-21
936,Sarina Eberth MBA.,F,2016-11-19
937,Ottokar Gotthard,F,2025-03-15
938,Marijan Drub B.Eng.,F,2024-12-26
939,Univ.Prof. Süleyman Heß,F,2023-10-01
940,Angelique Köster-Schwital,F,2018-01-10
941,Reiner Dietz,M,2024-12-05
942,Dipl.-Ing. Ljudmila Atzler B.Eng.,F,2020-03-15
943,Ortrud Flantz,M,2018-10-28
944,Patrick Wulf-Börner,M,2024-09-16
945,Meta Meister,F,2022-03-19
946,Muzaffer Eigenwillig,M,2017-01-01
947,Dipl.-Ing. Nikolas Döhn,F,2022-10-29
948,Dr. Bianka Karge MBA.,F,2016-06-27
949,Burckhard Girschner-Henck,F,2019-10-27
950,Steffen Jacob B.Sc.,M,2024-04-13
951,Waltraud Haase,M,2019-05-31
952,Heinz-Willi Etzler,F,2026-02-08
953,Paul Bohlander,F,2023-12-01
954,Sibel Kroker,M,2022-08-17
955,Rigo Boucsein,M,2018-04-06
956,Olga Vollbrecht-Metz,M,2021-06-01
957,Karl-Wilhelm Renner,F,2024-11-17
958,Hanni Bärer B.Eng.,M,2021-02-11
959,Greta Scholl,F,2019-03-05
960,Emmerich Dehmel,M,2018-01-23
961,Telse Margraf,M,2017-08-26
962,Dr. Elizabeth Dobes B.A.,F,2016-03-15
963,Vladimir Karz,F,2019-09-29
964,Helmuth Langern,F,2018-12-13
965,Frau Margareta Röhricht MBA.,F,2018-09-16
966,Corinna Lange,M,2023-01-31
967,Donald Cichorius,M,2021-08-25
968,Theda Heintze,F,2019-02-14
969,Kornelia Seip,M,2023-09-14
970,Sandy Eimer B.Sc.,F,2016-04-01
971,Ortrud Reichmann B.Eng.,F,2024-05-07
972,Marica Pohl,F,2023-06-17
973,Anke Gierschner,M,2018-12-08
974,Mira Nette MBA.,M,2017-06-27
975,Ben Röhrdanz-Bloch,M,2023-01-10
976,Dipl.-Ing. Bianka Käster,F,2020-05-26
977,Philippe Vogt B.Eng.,M,2017-12-07
978,Gina Eberhardt,M,2018-09-17
979,Hansjörg Mans,M,2023-04-15
980,Antonino Wagner-Albers,F,2021-01-20
981,Ahmet Liebelt B.A.,M,2024-09-02
982,Dagmar van der Dussen,M,2023-05-28
983,Mirko Steckel,M,2021-01-24
984,Ing. Helge Vogt,F,2021-05-09
985,Concetta Hein,F,2026-02-20
986,Ing. Egon Stroh B.Eng.,M,2020-10-07
987,Bianca Jockel MBA.,F,2021-10-27
988,Darko Fritsch B.Eng.,M,2021-05-14
989,Ing. Aleksej Gorlitz B.A.,M,2024-08-26
990,Ellinor Siering MBA.,F,2020-08-21
991,Dursun Hein,M,2022-07-25
992,Frau Dora Müller B.Sc.,M,2021-05-06
993,Univ.Prof. Michaela Noack B.Eng.,F,2019-07-24
994,Herr Silvester Stoll,F,2017-07-27
995,Univ.Prof. Udo Bien,M,2025-01-18
996,Agatha Schulz,F,2016-07-02
997,Blanka Biggen,F,2017-09-01
998,Univ.Prof. Denise Röhrdanz B.Eng.,F,2018-01-16
999,Hans Jürgen Beckmann B.Sc.,F,2019-11-23
1000,Mariana Vogt,M,2017-06-02
